field_id,organic_matter_pct,ph_h2o,cec_cmol_kg,erosion_k_factor,carbon_storage_mg_c_ha,soil_coverage_fraction,om_coverage_fraction,ph_coverage_fraction,cec_coverage_fraction,erosion_coverage_fraction,carbon_coverage_fraction
STORY-01,5.378009543009878,6.408089088525252,28.56166090059019,0.27528280037460945,116.6278870827177,0.9999999999999671,0.9999999999999671,0.9999999999999671,0.9999999999999671,0.9999999999999671,0.9999999999999671
STORY-02,5.41161459572981,6.557698959451868,23.755924167515975,0.2641926812039448,106.5333249026872,1.0,1.0,1.0,1.0,0.9974132907192167,1.0
STORY-03,5.756867972254825,6.67637766935887,26.717554059925348,0.23713010463579093,123.67438875299648,1.0,1.0,1.0,1.0,1.0,1.0
STORY-04,4.954391947643182,6.436857877386279,21.511309933275726,0.2715803595689073,100.6469219374376,0.9999999999999809,0.9999999999999809,0.9999999999999809,0.9999999999999809,0.9999999999999809,0.9999999999999809
STORY-05,5.252213572833885,6.440760354598936,22.533877007025005,0.274117871833478,105.17126986546336,1.0,1.0,1.0,1.0,1.0,1.0
STORY-06,5.108586200054944,6.376786397318342,22.680575251783115,0.27290008667217536,102.43129744730672,0.9999999999998646,0.9999999999998646,0.9999999999998646,0.9999999999998646,0.9999999999998646,0.9999999999998646
STORY-07,4.933086476292979,6.37512201440352,24.19888721476673,0.27240716855527186,98.83899158553038,0.9999999999998784,0.9999999999998785,0.9999999999998785,0.9999999999998785,0.9999999999998785,0.9999999999998785
STORY-08,5.359827686785492,6.420678680090053,22.6705667261177,0.2758449533108744,106.59732331139482,0.9999999999998577,0.9999999999998577,0.9999999999998577,0.9999999999998577,0.9999999999998577,0.9999999999998577
STORY-09,2.937115260561758,6.443191595495828,18.48818617320061,0.2912357464735697,65.6410946159757,1.0,1.0,1.0,1.0,0.998511476858474,1.0
STORY-10,4.946582263409002,6.380897189189351,22.648138316328108,0.2730592241600086,99.51669033614888,0.9999999999999282,0.9999999999999282,0.9999999999999282,0.9999999999999282,0.9999999999999282,0.9999999999999282
STORY-11,3.658810662983081,6.725185994667835,20.701385062733685,0.223593967654326,87.07147382961608,0.9999999999999792,0.9997712450105605,0.9997712450105605,0.9997712450105605,0.9303415531341869,0.9997712450105605
STORY-12,4.431734333732874,6.42983876564568,20.89175389447236,0.2743253124642323,90.61932814472884,0.9999999999999583,0.9999999999999583,0.9999999999999583,0.9999999999999583,0.9999999999999583,0.9999999999999583
STORY-13,3.990602120525996,6.42448406829643,20.14984121044667,0.2795210674673277,83.3990282728685,1.0,1.0,1.0,1.0,1.0,1.0
STORY-14,4.821065209457871,6.351465376510317,22.636823218284093,0.2760997952505434,97.12808914752833,0.9999999999999505,0.9999999999999505,0.9999999999999505,0.9999999999999505,0.9999999999999505,0.9999999999999505
STORY-15,5.3863529551479985,6.433455937962375,22.813528007704303,0.2752025586939637,106.9385420229147,1.0,1.0,1.0,1.0,1.0,1.0
STORY-16,5.303933290100673,6.465151281073421,22.887446897854506,0.27425706971694797,105.42678827415799,0.9999999999999306,0.9999999999999306,0.9999999999999306,0.9999999999999306,0.9999999999999306,0.9999999999999306
STORY-17,5.5519631196645305,6.6598892831328556,26.70044482216769,0.2874600254907817,117.03355036441494,0.9999999999999989,0.9999999999999989,0.9999999999999989,0.9999999999999989,0.9953961060183425,0.9999999999999989
STORY-18,3.1874186854466777,6.377855910049955,18.473834471224432,0.28734907473980875,67.39427131567844,0.9999999999997304,0.9999999999997303,0.9999999999997303,0.9999999999997303,0.9999999999997303,0.9999999999997303
STORY-19,5.145648415380458,6.399857249902616,23.52220473164042,0.27598653058247635,106.30190032223595,0.9999999999999226,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225,0.9999999999999225
STORY-20,4.406260814388166,6.309994879853918,21.262904329573875,0.2698694067247154,90.74354373982328,0.9999999999999526,0.9999999999999527,0.9999999999999527,0.9999999999999527,0.9999999999999527,0.9999999999999527
STORY-21,5.465619196505838,6.423205879330727,23.0884834811566,0.2763968933351715,107.97251873469072,1.0,1.0,1.0,1.0,1.0,1.0
STORY-22,3.4305301024979222,6.323942050590314,18.747958076108954,0.2709490629960311,74.17698430320176,1.0,1.0,1.0,1.0,1.0,1.0
STORY-23,4.500335681595336,6.411371095992989,21.183115537652597,0.27456777304714464,91.93332544915428,0.9999999999998346,0.9999999999998346,0.9999999999998346,0.9999999999998346,0.9999999999998346,0.9999999999998346
STORY-24,4.062977032923259,6.282915549486236,20.187377110871562,0.26823864729013547,85.23365106007795,1.0,1.0,1.0,1.0,0.9996141651245836,1.0
STORY-25,5.042709525210564,6.311781386120285,22.719319156625062,0.27308734910792426,101.19381713250527,1.0,1.0,1.0,1.0,1.0,1.0
